smiles,target_chembl_id,standard_type,target_name,B,F,y_B,y_F,m_B,m_F,split,yB_true,mB,yF_true,mF,yB_pred,yF_pred,resid,abs_err
COc1ccc(CCc2ccccc2OC[C@H](CN(C)C)OC(=O)CCC(=O)O)cc1,CHEMBL224,Ki,5-hydroxytryptamine receptor 2A,8.2,,8.2,0.0,1.0,0.0,test,8.2,1.0,0.0,0.0,4.915227,4.47806,3.2847729999999995,3.2847729999999995
COc1ccc(CCc2ccccc2OC[C@@H](CN(C)C)OC(=O)CCC(=O)O)cc1,CHEMBL224,IC50,5-hydroxytryptamine receptor 2A,8.12,,8.12,0.0,1.0,0.0,test,8.12,1.0,0.0,0.0,4.8710833,4.3046947,3.2489166999999997,3.2489166999999997
CN(C)Cc1ccccc1Sc1ccc(I)cc1N,CHEMBL228,Ki,Sodium-dependent serotonin transporter,10.89,,10.89,0.0,1.0,0.0,test,10.89,1.0,0.0,0.0,7.662286,5.771358,3.2277140000000006,3.2277140000000006
COc1ccc2[nH]cc(C(C)CN)c2c1,CHEMBL224,Ki,5-hydroxytryptamine receptor 2A,8.66,,8.66,0.0,1.0,0.0,test,8.66,1.0,0.0,0.0,5.452712,5.8406906,3.207288,3.207288
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,CHEMBL228,IC50,Sodium-dependent serotonin transporter,8.42,,8.42,0.0,1.0,0.0,test,8.42,1.0,0.0,0.0,5.2635226,3.9975374,3.1564774,3.1564774
CN(C)Cc1cc(OCCF)ccc1Sc1ccccc1N,CHEMBL228,Ki,Sodium-dependent serotonin transporter,9.6,,9.6,0.0,1.0,0.0,test,9.6,1.0,0.0,0.0,6.4481096,5.1408,3.151890399999999,3.151890399999999
COc1ccc(CCc2ccccc2OCC(CN(C)C)OC(=O)CCC(=O)O)cc1,CHEMBL224,IC50,5-hydroxytryptamine receptor 2A,8.02,,8.02,0.0,1.0,0.0,test,8.02,1.0,0.0,0.0,4.8710833,4.3046947,3.1489167,3.1489167
COC(=O)C1C2CCC(CC1c1ccc(/C=C\Br)cc1)N2,CHEMBL228,Ki,Sodium-dependent serotonin transporter,10.4,,10.4,0.0,1.0,0.0,test,10.4,1.0,0.0,0.0,7.264805,5.950145,3.1351950000000004,3.1351950000000004
COc1cc([C@H]2CCCNC2)c(OC)cc1Br,CHEMBL224,Ki,5-hydroxytryptamine receptor 2A,5.7,,5.7,0.0,1.0,0.0,test,5.7,1.0,0.0,0.0,8.8217,8.527958,-3.1216999999999997,3.1216999999999997
COc1ccc(CCc2ccccc2OC[C@H](CN(C)C)OC(=O)CCC(=O)O)cc1,CHEMBL224,IC50,5-hydroxytryptamine receptor 2A,7.96,,7.96,0.0,1.0,0.0,test,7.96,1.0,0.0,0.0,4.8710833,4.3046947,3.0889167000000004,3.0889167000000004
COC(=O)C1C2CCC(CC1c1ccc(/C=C\I)cc1)N2,CHEMBL228,Ki,Sodium-dependent serotonin transporter,10.4,,10.4,0.0,1.0,0.0,test,10.4,1.0,0.0,0.0,7.32716,5.624384,3.0728400000000002,3.0728400000000002
CN(C)Cc1ccccc1Sc1ccc(CF)cc1N,CHEMBL228,Ki,Sodium-dependent serotonin transporter,8.98,,8.98,0.0,1.0,0.0,test,8.98,1.0,0.0,0.0,5.90994,4.7300982,3.0700600000000007,3.0700600000000007
CCCN1CCC2c3cc(O)ccc3CCC21,CHEMBL228,IC50,Sodium-dependent serotonin transporter,4.86,,4.86,0.0,1.0,0.0,test,4.86,1.0,0.0,0.0,7.9248343,7.370163,-3.0648342999999993,3.0648342999999993
C=Cc1ccc([C@H]2CC3CCC(N3)[C@H]2C(=O)CC)cc1,CHEMBL228,IC50,Sodium-dependent serotonin transporter,9.49,,9.49,0.0,1.0,0.0,test,9.49,1.0,0.0,0.0,6.4379654,5.2699804,3.0520346,3.0520346
COc1cccc(CCc2ccccc2OC[C@H](O)CN(C)C)c1,CHEMBL224,Ki,5-hydroxytryptamine receptor 2A,9.2,,9.2,0.0,1.0,0.0,test,9.2,1.0,0.0,0.0,6.184635,5.5643806,3.015364999999999,3.015364999999999
CN(C)Cc1cc(I)ccc1Sc1ccccc1CO,CHEMBL228,Ki,Sodium-dependent serotonin transporter,10.52,,10.52,0.0,1.0,0.0,test,10.52,1.0,0.0,0.0,7.508179,5.568736,3.0118209999999994,3.0118209999999994
COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(SC)cc1)N2,CHEMBL228,Ki,Sodium-dependent serotonin transporter,9.72,,9.72,0.0,1.0,0.0,test,9.72,1.0,0.0,0.0,6.742034,5.6941442,2.9779660000000003,2.9779660000000003
COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(/C=C\I)cc1)N2,CHEMBL228,Ki,Sodium-dependent serotonin transporter,10.3,,10.3,0.0,1.0,0.0,test,10.3,1.0,0.0,0.0,7.32716,5.624384,2.9728400000000006,2.9728400000000006
CN(C)Cc1cc(OCCCF)ccc1Sc1ccc(Br)cc1N,CHEMBL228,Ki,Sodium-dependent serotonin transporter,9.82,,9.82,0.0,1.0,0.0,test,9.82,1.0,0.0,0.0,6.867881,5.6410055,2.9521190000000006,2.9521190000000006
CN(C)Cc1ccccc1Oc1ccc(I)cc1CO,CHEMBL228,Ki,Sodium-dependent serotonin transporter,9.92,,9.92,0.0,1.0,0.0,test,9.92,1.0,0.0,0.0,6.9962525,5.4417295,2.9237475,2.9237475
CCCN1CCC(c2noc3cc(F)ccc23)CC1,CHEMBL228,Ki,Sodium-dependent serotonin transporter,4.53,,4.53,0.0,1.0,0.0,test,4.53,1.0,0.0,0.0,7.4499245,7.038787,-2.9199244999999996,2.9199244999999996
CCc1ccc(Sc2ccccc2CN(C)C)c(N)c1,CHEMBL228,Ki,Sodium-dependent serotonin transporter,9.31,,9.31,0.0,1.0,0.0,test,9.31,1.0,0.0,0.0,6.3939943,5.0181885,2.9160057000000004,2.9160057000000004
COc1cccc(CCc2ccccc2OC[C@@H](O)CN(C)C)c1,CHEMBL224,Ki,5-hydroxytryptamine receptor 2A,9.1,,9.1,0.0,1.0,0.0,test,9.1,1.0,0.0,0.0,6.184635,5.5643806,2.9153649999999995,2.9153649999999995
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,CHEMBL228,Ki,Sodium-dependent serotonin transporter,10.12,,10.12,0.0,1.0,0.0,test,10.12,1.0,0.0,0.0,7.2217903,6.1254644,2.898209699999999,2.898209699999999
Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2C=C(Br)Br)N3C)cc1,CHEMBL238,IC50,Sodium-dependent dopamine transporter,9.64,,9.64,0.0,1.0,0.0,test,9.64,1.0,0.0,0.0,6.7590322,5.665682,2.8809678000000005,2.8809678000000005
CC(C)CN(Cc1ccc(C(F)(F)F)cc1)C1CCNCC1,CHEMBL228,Ki,Sodium-dependent serotonin transporter,10.15,,10.15,0.0,1.0,0.0,test,10.15,1.0,0.0,0.0,7.28916,6.93475,2.8608400000000005,2.8608400000000005
COc1cccc(CCc2ccccc2OC[C@@H](O)CN(C)C)c1,CHEMBL224,IC50,5-hydroxytryptamine receptor 2A,8.92,,8.92,0.0,1.0,0.0,test,8.92,1.0,0.0,0.0,6.087903,5.3170195,2.832097,2.832097
O=C(OCCF)[C@H]1[C@@H](c2ccc(/C=C\I)cc2)C[C@H]2CC[C@H]1N2,CHEMBL228,Ki,Sodium-dependent serotonin transporter,10.1,,10.1,0.0,1.0,0.0,test,10.1,1.0,0.0,0.0,7.2697563,5.913576,2.8302436999999996,2.8302436999999996
O=C(OCCF)C1C2CCC(CC1c1ccc(/C=C\I)cc1)N2,CHEMBL228,Ki,Sodium-dependent serotonin transporter,10.1,,10.1,0.0,1.0,0.0,test,10.1,1.0,0.0,0.0,7.2697563,5.913576,2.8302436999999996,2.8302436999999996
COc1ccccc1N1CCN(CCCCNC(=O)OC(C)(C)C)CC1,CHEMBL217,EC50,D(2) dopamine receptor,9.22,,9.22,0.0,1.0,0.0,test,9.22,1.0,0.0,0.0,6.410018,7.1251698,2.8099820000000006,2.8099820000000006
COc1cccc(CCc2ccccc2OC[C@H](O)CN(C)C)c1,CHEMBL224,IC50,5-hydroxytryptamine receptor 2A,8.89,,8.89,0.0,1.0,0.0,test,8.89,1.0,0.0,0.0,6.087903,5.3170195,2.8020970000000007,2.8020970000000007
COC(=O)[C@H]1C(c2ccc(Cl)c(Cl)c2)CC2C[C@@H](O)[C@H]1N2C,CHEMBL238,IC50,Sodium-dependent dopamine transporter,5.945,,5.945,0.0,1.0,0.0,test,5.945,1.0,0.0,0.0,8.728811,7.355523,-2.783811,2.783811
CC(c1ccccc1Oc1ccc(Cl)c(Cl)c1)N(C)C,CHEMBL228,IC50,Sodium-dependent serotonin transporter,8.48,,8.48,0.0,1.0,0.0,test,8.48,1.0,0.0,0.0,5.700303,4.8688107,2.7796970000000005,2.7796970000000005
N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,CHEMBL214,Ki,5-hydroxytryptamine receptor 1A,8.89,,8.89,0.0,1.0,0.0,test,8.89,1.0,0.0,0.0,6.1174507,6.7567196,2.7725493000000005,2.7725493000000005
CNC[C@@H](c1ccc2ccccc2c1)[C@@H](O)c1ccccc1,CHEMBL228,Kd,Sodium-dependent serotonin transporter,6.68,,6.68,0.0,1.0,0.0,test,6.68,1.0,0.0,0.0,9.449267,7.753293,-2.769267000000001,2.769267000000001
C=CCN1CCC[C@H]1CNC(=O)c1cccc(CCCF)c1,CHEMBL217,Ki,D(2) dopamine receptor,9.2,,9.2,0.0,1.0,0.0,test,9.2,1.0,0.0,0.0,6.4371557,6.596776,2.7628442999999994,2.7628442999999994
CN(C)Cc1ccccc1Sc1ccc(I)cc1CO,CHEMBL228,Ki,Sodium-dependent serotonin transporter,10.01,,10.01,0.0,1.0,0.0,test,10.01,1.0,0.0,0.0,7.2490196,5.0029783,2.7609804000000002,2.7609804000000002
CNC[C@@H](c1ccc2ccccc2c1)[C@@H](OCC(N)=O)c1ccccc1,CHEMBL228,Ki,Sodium-dependent serotonin transporter,6.1,,6.1,0.0,1.0,0.0,test,6.1,1.0,0.0,0.0,8.854539,7.526305,-2.754539000000001,2.754539000000001
CCCN1CC[C@H]2c3c(cccc3OC)CC[C@@H]21,CHEMBL214,Ki,5-hydroxytryptamine receptor 1A,9.7,,9.7,0.0,1.0,0.0,test,9.7,1.0,0.0,0.0,6.9575114,6.5264344,2.7424885999999997,2.7424885999999997
CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O,CHEMBL217,Ki,D(2) dopamine receptor,9.93,,9.93,0.0,1.0,0.0,test,9.93,1.0,0.0,0.0,7.2111373,6.7957163,2.7188627,2.7188627
CN(C)[C@H]1Cc2ccccc2[C@H](c2ccc([N+](=O)[O-])cc2)C1,CHEMBL224,Ki,5-hydroxytryptamine receptor 2A,5.09,,5.09,0.0,1.0,0.0,test,5.09,1.0,0.0,0.0,7.8049555,7.2698956,-2.7149555000000003,2.7149555000000003
COC(=O)[C@@H]1C2CCC(C[C@@H]1c1cccc(/C=C/I)c1)N2,CHEMBL228,Ki,Sodium-dependent serotonin transporter,9.7,,9.7,0.0,1.0,0.0,test,9.7,1.0,0.0,0.0,7.0042324,5.6624107,2.695767599999999,2.695767599999999
CSCCSCCC(=O)OC[C@@H]1C2CCC(C[C@@H]1c1ccc(F)cc1)N2C,CHEMBL238,IC50,Sodium-dependent dopamine transporter,8.940000000000001,,8.94,0.0,1.0,0.0,test,8.94,1.0,0.0,0.0,6.260085,6.2209387,2.6799149999999994,2.6799149999999994
Cc1cc(C)c([C@H](O)[C@@H](CN(C)C)c2ccccc2)c(C)c1,CHEMBL222,Kd,Sodium-dependent noradrenaline transporter,4.45,,4.45,0.0,1.0,0.0,test,4.45,1.0,0.0,0.0,7.10792,6.799589,-2.65792,2.65792
CNC[C@H](O)[C@H](c1ccccc1)n1ccc2cc(Cl)ccc21,CHEMBL228,IC50,Sodium-dependent serotonin transporter,8.0,,8.0,0.0,1.0,0.0,test,8.0,1.0,0.0,0.0,5.3526864,4.931307,2.6473136000000004,2.6473136000000004
COC(=O)[C@@H]1C2CCC(C[C@@H]1c1cccc(/C=C/Br)c1)N2,CHEMBL228,Ki,Sodium-dependent serotonin transporter,9.7,,9.7,0.0,1.0,0.0,test,9.7,1.0,0.0,0.0,7.058917,6.060565,2.641082999999999,2.641082999999999
COc1cc(C[C@@H](C)N)c(OC)cc1I,CHEMBL214,Ki,5-hydroxytryptamine receptor 1A,9.19,,9.19,0.0,1.0,0.0,test,9.19,1.0,0.0,0.0,6.554738,5.877697,2.635261999999999,2.635261999999999
NC[C@@H](c1ccccc1)[C@@H](O)c1ccccc1,CHEMBL222,Kd,Sodium-dependent noradrenaline transporter,4.9,,4.9,0.0,1.0,0.0,test,4.9,1.0,0.0,0.0,7.5118856,6.724551,-2.6118856,2.6118856
COc1cc(SC(F)(F)F)c(OC)cc1CCN,CHEMBL224,Ki,5-hydroxytryptamine receptor 2A,9.46,,9.46,0.0,1.0,0.0,test,9.46,1.0,0.0,0.0,6.853634,6.4267387,2.6063660000000013,2.6063660000000013
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,CHEMBL228,IC50,Sodium-dependent serotonin transporter,9.72,,9.72,0.0,1.0,0.0,test,9.72,1.0,0.0,0.0,7.1483927,5.9158783,2.571607300000001,2.571607300000001
CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,CHEMBL214,AC50,5-hydroxytryptamine receptor 1A,7.085,6.06,7.085,6.06,1.0,1.0,test,7.085,1.0,6.06,1.0,4.5223513,4.564229,2.5626486999999996,2.5626486999999996
CCc1ccc(Sc2ccccc2CNC)c(N)c1,CHEMBL228,Ki,Sodium-dependent serotonin transporter,8.69,,8.69,0.0,1.0,0.0,test,8.69,1.0,0.0,0.0,6.1407666,4.942229,2.5492333999999994,2.5492333999999994
CC(C)(C)[C@H](O)[C@@H](CN)c1ccccc1,CHEMBL222,Kd,Sodium-dependent noradrenaline transporter,4.32,,4.32,0.0,1.0,0.0,test,4.32,1.0,0.0,0.0,6.867688,6.5111713,-2.547688,2.547688
CCCN1CC[C@H]2c3c(O)cccc3CC[C@@H]21,CHEMBL214,Ki,5-hydroxytryptamine receptor 1A,10.0,,10.0,0.0,1.0,0.0,test,10.0,1.0,0.0,0.0,7.4668703,7.077812,2.5331297,2.5331297
Cc1ccc([C@H]2C[C@@H]3CC[C@H]([C@H]2C=C(Br)Br)N3C)cc1,CHEMBL222,Ki,Sodium-dependent noradrenaline transporter,8.47,,8.47,0.0,1.0,0.0,test,8.47,1.0,0.0,0.0,5.9382877,5.587839,2.5317123000000006,2.5317123000000006
CN(C)[C@H]1CC[C@@H](c2c[nH]c3ccc(F)cc23)C1,CHEMBL224,IC50,5-hydroxytryptamine receptor 2A,4.55,,4.55,0.0,1.0,0.0,test,4.55,1.0,0.0,0.0,7.0786057,6.2912016,-2.5286057,2.5286057
NCCc1ccc(O)c(O)c1,CHEMBL217,EC50,D(2) dopamine receptor,8.325,6.965,8.325,6.965,1.0,1.0,test,8.325,1.0,6.965,1.0,5.8011312,6.1467295,2.523868799999999,2.523868799999999
O=C(OCCF)C1C2CCC(CC1c1cccc(/C=C\Br)c1)N2,CHEMBL228,Ki,Sodium-dependent serotonin transporter,9.48,,9.48,0.0,1.0,0.0,test,9.48,1.0,0.0,0.0,6.958746,6.2304773,2.5212540000000008,2.5212540000000008
C#CCSc1cc(OC)c(CCN)cc1OC,CHEMBL224,Ki,5-hydroxytryptamine receptor 2A,8.89,,8.89,0.0,1.0,0.0,test,8.89,1.0,0.0,0.0,6.3734016,6.2663736,2.5165984000000003,2.5165984000000003
CCN(CC)CCc1c[nH]c2ccc(OC)cc12,CHEMBL214,Ki,5-hydroxytryptamine receptor 1A,8.77,,8.77,0.0,1.0,0.0,test,8.77,1.0,0.0,0.0,6.256051,6.8444324,2.5139489999999993,2.5139489999999993
O=C(OCCCF)C1C2CCC(CC1c1cccc(/C=C\I)c1)N2,CHEMBL228,Ki,Sodium-dependent serotonin transporter,9.59,,9.59,0.0,1.0,0.0,test,9.59,1.0,0.0,0.0,7.0766907,5.85467,2.5133092999999995,2.5133092999999995
O=C(OCCCF)C1C2CCC(CC1c1cccc(/C=C\Br)c1)N2,CHEMBL228,Ki,Sodium-dependent serotonin transporter,9.48,,9.48,0.0,1.0,0.0,test,9.48,1.0,0.0,0.0,6.9700937,6.0867834,2.509906300000001,2.509906300000001
O=C(CCCN1CCC(O)(c2cccc(Cl)c2Cl)CC1)c1ccc(F)cc1,CHEMBL217,Ki,D(2) dopamine receptor,9.92,,9.92,0.0,1.0,0.0,test,9.92,1.0,0.0,0.0,7.4102087,6.818091,2.5097913,2.5097913
CN(C)Cc1cc(OCCCF)ccc1Sc1ccc(F)cc1N,CHEMBL228,Ki,Sodium-dependent serotonin transporter,9.02,,9.02,0.0,1.0,0.0,test,9.02,1.0,0.0,0.0,6.517564,5.4885798,2.5024359999999994,2.5024359999999994
CN(C)Cc1ccccc1Sc1ccc(C(F)(F)F)cc1N,CHEMBL228,Ki,Sodium-dependent serotonin transporter,9.48,,9.48,0.0,1.0,0.0,test,9.48,1.0,0.0,0.0,6.993059,5.3534174,2.4869410000000007,2.4869410000000007
O=C(OCCF)C1C2CCC(CC1c1cccc(/C=C\I)c1)N2,CHEMBL228,Ki,Sodium-dependent serotonin transporter,9.37,,9.37,0.0,1.0,0.0,test,9.37,1.0,0.0,0.0,6.8871784,5.897923,2.4828215999999994,2.4828215999999994
CNC(C)C(=O)c1ccccc1,CHEMBL238,EC50,Sodium-dependent dopamine transporter,7.9,,7.9,0.0,1.0,0.0,test,7.9,1.0,0.0,0.0,5.4184284,5.566946,2.4815716000000005,2.4815716000000005
CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,CHEMBL224,Ki,5-hydroxytryptamine receptor 2A,8.16,,8.16,0.0,1.0,0.0,test,8.16,1.0,0.0,0.0,5.6786127,5.5294743,2.4813872999999997,2.4813872999999997
CNCc1cc(C#N)ccc1Oc1ccc(Cl)c(Cl)c1,CHEMBL224,IC50,5-hydroxytryptamine receptor 2A,5.5,,5.5,0.0,1.0,0.0,test,5.5,1.0,0.0,0.0,7.9605627,6.3216696,-2.4605626999999997,2.4605626999999997
CN(C)Cc1cc(OCCCO)ccc1Sc1ccc(Br)cc1N,CHEMBL228,Ki,Sodium-dependent serotonin transporter,9.68,,9.68,0.0,1.0,0.0,test,9.68,1.0,0.0,0.0,7.222829,5.8388414,2.4571709999999998,2.4571709999999998
COC(=O)[C@H]1[C@@H](c2ccc(C(C)C)cc2)C[C@@H]2CC[C@H]1N2C,CHEMBL238,Ki,Sodium-dependent dopamine transporter,6.3,,6.3,0.0,1.0,0.0,test,6.3,1.0,0.0,0.0,8.736331,7.470619,-2.436331,2.436331
C=CCN1CC[C@H]2c3c(cccc3OC)CC[C@@H]21,CHEMBL214,Ki,5-hydroxytryptamine receptor 1A,9.7,,9.7,0.0,1.0,0.0,test,9.7,1.0,0.0,0.0,7.2781973,6.5388746,2.421802699999999,2.421802699999999
CCSc1ccc([C@H]2CC3CCC(N3)[C@H]2C(=O)OC)cc1,CHEMBL228,Ki,Sodium-dependent serotonin transporter,8.9,,8.9,0.0,1.0,0.0,test,8.9,1.0,0.0,0.0,6.4894524,5.5428658,2.4105476,2.4105476
COc1ccccc1N1CCN(CCCCCNC(=O)OC(C)(C)C)CC1,CHEMBL217,EC50,D(2) dopamine receptor,8.844999999999999,,8.845,0.0,1.0,0.0,test,8.845,1.0,0.0,0.0,6.441614,6.9177074,2.4033860000000002,2.4033860000000002
CN(C)Cc1ccccc1Sc1cccc(Cl)c1,CHEMBL238,IC50,Sodium-dependent dopamine transporter,7.44,,7.44,0.0,1.0,0.0,test,7.44,1.0,0.0,0.0,5.041087,4.0190177,2.3989130000000003,2.3989130000000003
NCCc1ccccc1,CHEMBL224,Ki,5-hydroxytryptamine receptor 2A,4.78,,4.78,0.0,1.0,0.0,test,4.78,1.0,0.0,0.0,7.1727242,5.420851,-2.3927242,2.3927242
N[C@H]1CC[C@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,CHEMBL222,IC50,Sodium-dependent noradrenaline transporter,8.4,,8.4,0.0,1.0,0.0,test,8.4,1.0,0.0,0.0,6.0392504,5.645343,2.3607496,2.3607496
COC(=O)C1C(c2ccc(O)c(O)c2)CC2CCC1N2C,CHEMBL238,Ki,Sodium-dependent dopamine transporter,5.9350000000000005,,5.935,0.0,1.0,0.0,test,5.935,1.0,0.0,0.0,8.286906,7.003851,-2.3519060000000005,2.3519060000000005
CNC(C)c1ccc(Cl)cc1Oc1ccc(C)cc1,CHEMBL224,IC50,5-hydroxytryptamine receptor 2A,8.45,,8.45,0.0,1.0,0.0,test,8.45,1.0,0.0,0.0,6.1111026,4.9954305,2.3388973999999996,2.3388973999999996
COCCCC/C(=N\OCCN)c1ccc(I)cc1,CHEMBL228,Ki,Sodium-dependent serotonin transporter,7.82,,7.82,0.0,1.0,0.0,test,7.82,1.0,0.0,0.0,5.48589,4.1500454,2.33411,2.33411
CN(C)Cc1ccccc1Sc1ccc(CO)cc1N,CHEMBL228,Ki,Sodium-dependent serotonin transporter,9.17,,9.17,0.0,1.0,0.0,test,9.17,1.0,0.0,0.0,6.8367367,5.435963,2.3332632999999996,2.3332632999999996
O=C(CCCN1CCC(O)(c2cc(Cl)cc(Cl)c2)CC1)c1ccc(F)cc1,CHEMBL217,Ki,D(2) dopamine receptor,9.35,,9.35,0.0,1.0,0.0,test,9.35,1.0,0.0,0.0,7.022379,6.528823,2.3276209999999997,2.3276209999999997
COc1c(O)ccc2c1CN1CCc3cc(OCCF)c(O)cc3[C@@H]1C2,CHEMBL217,Ki,D(2) dopamine receptor,5.3,,5.3,0.0,1.0,0.0,test,5.3,1.0,0.0,0.0,7.6253023,7.091626,-2.3253023000000006,2.3253023000000006
CN(C)Cc1cc(OCCCF)ccc1Sc1ccccc1N,CHEMBL228,Ki,Sodium-dependent serotonin transporter,8.85,,8.85,0.0,1.0,0.0,test,8.85,1.0,0.0,0.0,6.525588,5.2387238,2.3244119999999997,2.3244119999999997
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,CHEMBL214,Kd,5-hydroxytryptamine receptor 1A,5.4,,5.4,0.0,1.0,0.0,test,5.4,1.0,0.0,0.0,7.712145,7.246207,-2.3121449999999992,2.3121449999999992
CCCN(C/C=C/I)C1CCc2cccc(O)c2C1,CHEMBL217,Ki,D(2) dopamine receptor,5.97,,5.97,0.0,1.0,0.0,test,5.97,1.0,0.0,0.0,8.28214,8.345875,-2.3121400000000003,2.3121400000000003
COc1cccc2sc([C@@H]3CCN(C[C@H](O)COc4cccc5[nH]ccc45)[C@@H](C)C3)cc12,CHEMBL228,Ki,Sodium-dependent serotonin transporter,9.57,,9.57,0.0,1.0,0.0,test,9.57,1.0,0.0,0.0,7.2587285,6.9259963,2.3112715,2.3112715
C[C@H](N)Cc1ccccc1,CHEMBL222,EC50,Sodium-dependent noradrenaline transporter,8.15,,8.15,0.0,1.0,0.0,test,8.15,1.0,0.0,0.0,5.840824,6.56361,2.309176000000001,2.309176000000001
CC(C)COc1ccc(COC(=O)N(Cc2ccc(F)cc2F)C2CCN(C)CC2)cc1,CHEMBL224,Ki,5-hydroxytryptamine receptor 2A,7.6,,7.6,0.0,1.0,0.0,test,7.6,1.0,0.0,0.0,9.894884,8.787974,-2.2948839999999997,2.2948839999999997
CN(C)CC(C)(c1ccc2ccccc2c1)C(O)c1ccccc1,CHEMBL228,Ki,Sodium-dependent serotonin transporter,8.57,,8.57,0.0,1.0,0.0,test,8.57,1.0,0.0,0.0,6.275198,5.592207,2.2948020000000007,2.2948020000000007
